foto,strana,slogan,name,scenari,rezhisser,nameang,genre,dlina
/storage/276896_500x800x250.jpg,США,,"День, когда Земля остановилась (",Дэвид Скарпа,Скотт Дерриксон,The Day the Earth Stood Still,Фантастика, 110 мин.
,,,Француз (,,,,,
/storage/1686694_500x800x250.jpg,Франция,,Француз (,Дьястем,Дьястем,Un Francais,Драма, 98 мин.
,,,Черная смерть (,,,,,
/storage/1686170_500x800x250.jpg,Таиланд,,Черная смерть (,,Чалермчатри Юкол,Phi ha Ayothaya,Ужасы, 84 мин.
,,,50 оттенков черного (,,,,,
/storage/1667603_500x800x250.jpg,США,,50 оттенков черного (,Рик Альварез,Майкл Тиддес,Fifty Shades of Black,Комедия, 93 мин.
,,,Наступит ночь (,,,,,
/storage/1686250_500x800x250.jpg,Великобритания,,Наступит ночь (,Линетт Сингер,Андре Сингер,Night Will Fall,Документальный, 75 мин.
/storage/1686160_500x800x250.jpg,Великобритания,,Вопрос вкусов с Грейсоном Перри (,,Neil Crombie,All in the Best Possible Taste with Grayson Perry,Документальный, 46 мин.
,,,Астробой (,,,,,
/storage/211353_500x800x250.jpg,Гонконг,,Астробой (,Осаму Тэдзука,Дэвид Бауэр,Astro Boy,Фантастика, 94 мин.
,,,Правнуки (,,,,,
,,,Крещение (,,,,,
/storage/1171021_500x800x250.jpg,Филиппины,,Крещение (,Мико Хасинто,Мико Хасинто,Binyag,Драма, 64 мин.
/storage/1150525_500x800x250.jpg,США,,Только скажи... люблю (,Дэвид Дж. Морьелло,Билл Хэмпфри,Just Say Love,Драма, 75 мин.
/storage/1183665_500x800x250.jpg,США,,Под небом Аризоны (,Джефф Лондон,Джефф Лондон,Arizona Sky,Драма, 92 мин.
,,,Пистолет за десять центов (,,,,,
/storage/1684726_500x800x250.jpg,США,,Пистолет за десять центов (,Майкл С. Мартин,Майкл С. Мартин,10 Cent Pistol,Триллер, 91 мин.
,,,Убийственная ферма (,,,,,
/storage/1182673_500x800x250.jpg,Германия,,Убийственная ферма (,Bettina Oberli,Bettina Oberli,Tannod,Триллер, 104 мин.
/storage/1219640_500x800x250.jpg,Германия,,Сострадание (,Ким Фупц Окесон,Маттиас Гласнер,Gnade,Драма, 132 мин.
,,,В поисках Эрика (,,,,,
/storage/219492_500x800x250.jpg,Великобритания,,В поисках Эрика (,Пол Лаверти,Кен Лоуч,Looking for Eric,Комедия, 116 мин.
,,,Тёмная паутина (,,,,,
/storage/1684530_500x800x250.jpg,США,,Тёмная паутина (,Jean-Christophe Herve,Бруно Вассенат,Darkweb,Боевик, 89 мин.
,,,Допинг (,,,,,
/storage/1676603_500x800x250.jpg,Великобритания,,Допинг (,David Walsh,Стивен Фрирз,The Program,Драма, 103 мин.
/storage/1217091_500x800x250.jpg,Казахстан,,Уроки гармонии (,Эмир Байгазин,Эмир Байгазин,Harmony Lessons,Драма, 120 мин.
,,,Право на наследие (,,,,,
/storage/1684181_500x800x250.jpg,США,,Право на наследие (,Рон Нисуонер,Питер Соллетт,Freeheld,Драма, 103 мин.
,,,Виселица (,,,,,
/storage/1684237_500x800x250.jpg,Великобритания,,Виселица (,Саймон Бойес,Адам Мэйсон,Hangman,Триллер, 85 мин.
,,,Таинственный Альберт Ноббс (,,,,,
